time,open_,high,low,close,volume,unknown
2023-03-02T13:30:00+0530,88.6625,88.6625,88.635,88.635,29,4806
2023-03-02T13:35:00+0530,88.635,88.635,88.61,88.61,50,4775
2023-03-02T13:40:00+0530,88.61,88.6375,88.6,88.6375,57,4777
2023-03-02T13:45:00+0530,88.6375,88.6375,88.6375,88.6375,0,4777
2023-03-02T13:50:00+0530,88.6375,88.6375,88.62,88.62,11,4778
2023-03-02T13:55:00+0530,88.62,88.6425,88.6,88.6,23,4796
2023-03-02T14:00:00+0530,88.6,88.615,88.59,88.615,24,4791
2023-03-02T14:05:00+0530,88.615,88.615,88.6125,88.6125,1,4797
2023-03-02T14:10:00+0530,88.6125,88.6125,88.58,88.61,53,4790
2023-03-02T14:15:00+0530,88.61,88.61,88.61,88.61,5,4795
2023-03-02T14:20:00+0530,88.61,88.615,88.61,88.615,5,4800
2023-03-02T14:25:00+0530,88.615,88.62,88.615,88.62,10,4805
2023-03-02T14:30:00+0530,88.62,88.62,88.62,88.62,6,4815
2023-03-02T14:35:00+0530,88.62,88.63,88.62,88.63,2,4815
2023-03-02T14:40:00+0530,88.63,88.6625,88.63,88.6475,8,4812
2023-03-02T14:45:00+0530,88.6475,88.65,88.6475,88.65,4,4818
2023-03-02T14:50:00+0530,88.65,88.65,88.6,88.6,5,4813
2023-03-02T14:55:00+0530,88.6,88.6,88.585,88.6,59,4813
2023-03-02T15:00:00+0530,88.6,88.6,88.6,88.6,2,4752
2023-03-02T15:05:00+0530,88.6,88.6175,88.6,88.6175,12,4754
2023-03-02T15:10:00+0530,88.6175,88.6175,88.585,88.585,63,4737
2023-03-02T15:15:00+0530,88.585,88.585,88.5775,88.5775,1,4727
2023-03-02T15:20:00+0530,88.5775,88.58,88.5775,88.58,1,4727
2023-03-02T15:25:00+0530,88.58,88.58,88.54,88.54,135,4699
2023-03-02T15:30:00+0530,88.54,88.605,88.54,88.5925,42,4725
2023-03-02T15:35:00+0530,88.5925,88.5925,88.5525,88.5525,17,4726
2023-03-02T15:40:00+0530,88.5525,88.5525,88.55,88.5525,44,4738
2023-03-02T15:45:00+0530,88.5525,88.555,88.55,88.55,224,4746
2023-03-02T15:50:00+0530,88.55,88.565,88.5425,88.565,26,4759
2023-03-02T15:55:00+0530,88.565,88.565,88.565,88.565,0,4759
2023-03-02T16:00:00+0530,88.565,88.565,88.56,88.56,1,4767
2023-03-02T16:05:00+0530,88.56,88.56,88.56,88.56,0,4767
2023-03-02T16:10:00+0530,88.56,88.56,88.54,88.54,3,4768
2023-03-02T16:15:00+0530,88.54,88.54,88.54,88.54,1,4768
2023-03-02T16:20:00+0530,88.54,88.54,88.54,88.54,0,4768
2023-03-02T16:25:00+0530,88.54,88.54,88.5,88.5,57,4769
2023-03-02T16:30:00+0530,88.5,88.5,88.5,88.5,9,4779
2023-03-02T16:35:00+0530,88.5,88.5,88.5,88.5,0,4779
2023-03-02T16:40:00+0530,88.5,88.55,88.5,88.55,30,4779
2023-03-02T16:45:00+0530,88.55,88.57,88.55,88.57,1,4802
2023-03-02T16:50:00+0530,88.57,88.57,88.5675,88.5675,3,4802
2023-03-02T16:55:00+0530,88.5675,88.5675,88.53,88.5625,54,4802
2023-03-03T09:00:00+0530,88.15,88.18,88.1375,88.1375,348,4743
2023-03-03T09:05:00+0530,88.1375,88.1475,88.1,88.1275,1245,4634
2023-03-03T09:10:00+0530,88.12,88.16,88.08,88.08,220,4617
2023-03-03T09:15:00+0530,88.08,88.08,88.08,88.08,126,4670
2023-03-03T09:20:00+0530,88.08,88.115,88.08,88.095,155,4666
2023-03-03T09:25:00+0530,88.095,88.095,88.0675,88.075,47,4612
2023-03-03T09:30:00+0530,88.075,88.08,88.075,88.08,12,4621
2023-03-03T09:35:00+0530,88.08,88.1,88.08,88.085,58,4629
2023-03-03T09:40:00+0530,88.085,88.115,88.085,88.115,43,4633
2023-03-03T09:45:00+0530,88.115,88.115,88.095,88.095,15,4627
2023-03-03T09:50:00+0530,88.095,88.115,88.095,88.115,6,4626
2023-03-03T09:55:00+0530,88.115,88.115,88.1,88.1025,17,4626
2023-03-03T10:00:00+0530,88.1025,88.1275,88.0925,88.1275,110,4626
2023-03-03T10:05:00+0530,88.1275,88.1275,88.1275,88.1275,0,4626
2023-03-03T10:10:00+0530,88.1275,88.14,88.1275,88.14,23,4529
2023-03-03T10:15:00+0530,88.14,88.14,88.14,88.14,2,4529
2023-03-03T10:20:00+0530,88.14,88.155,88.14,88.155,15,4534
2023-03-03T10:25:00+0530,88.155,88.17,88.155,88.17,11,4534
2023-03-03T10:30:00+0530,88.17,88.1775,88.1575,88.1775,24,4531
2023-03-03T10:35:00+0530,88.1775,88.1775,88.17,88.17,6,4526
2023-03-03T10:40:00+0530,88.17,88.17,88.1525,88.1525,14,4527
2023-03-03T10:45:00+0530,88.1525,88.1525,88.1525,88.1525,0,4527
2023-03-03T10:50:00+0530,88.1525,88.1525,88.1525,88.1525,3,4523
2023-03-03T10:55:00+0530,88.1525,88.16,88.1525,88.16,29,4526
2023-03-03T11:00:00+0530,88.16,88.165,88.16,88.165,41,4526
2023-03-03T11:05:00+0530,88.165,88.165,88.16,88.16,9,4529
2023-03-03T11:10:00+0530,88.16,88.16,88.1475,88.1475,22,4529
2023-03-03T11:15:00+0530,88.1475,88.1475,88.145,88.145,5,4523
2023-03-03T11:20:00+0530,88.145,88.15,88.145,88.15,2,4525
2023-03-03T11:25:00+0530,88.15,88.15,88.125,88.125,43,4489
2023-03-03T11:30:00+0530,88.125,88.125,88.1,88.1,39,4495
2023-03-03T11:35:00+0530,88.1,88.105,88.1,88.105,4,4494
2023-03-03T11:40:00+0530,88.105,88.1075,88.105,88.1075,1,4494
2023-03-03T11:45:00+0530,88.1075,88.13,88.1075,88.13,6,4494
2023-03-03T11:50:00+0530,88.13,88.13,88.13,88.13,0,4494
2023-03-03T11:55:00+0530,88.13,88.13,88.13,88.13,0,4494
2023-03-03T12:00:00+0530,88.13,88.13,88.13,88.13,0,4494
